,year,county,population,median_income,perc_unemployed,perc_poverty,perc_white,normalized_deaths,deaths,cumulative_deaths,normalized_cumulative_deaths
436,5,85,114750,49580,6.066666666666666,13.099999999999996,95.83529411764708,3.6310820624546113e-06,5,42,0.00036697240995011413
437,5,86,37623,45510,8.433333333333332,12.099999999999996,96.08749966775643,1.3289742976370839e-05,6,30,0.0007903583197708011
438,5,87,127325,52578,6.858333333333333,13.0,92.14686825053992,7.853917141174162e-06,12,71,0.0005644341109981864
439,5,88,22582,46568,7.558333333333334,11.200000000000001,97.33415995040298,1.1070764325569037e-05,3,14,0.0006196487665969129
440,6,1,28342,34116,7.433333333333334,24.800000000000008,97.57250723308164,2.940277091713123e-05,10,56,0.001971638017230858
441,6,2,105562,43602,5.875,18.0,83.3889088876679,1.1841382315605995e-05,15,84,0.0007928369491143265
442,6,3,53202,47369,5.124999999999999,14.599999999999996,97.00763129205667,1.253085723594351e-05,8,36,0.0006735005230014372
443,6,4,100346,39757,6.658333333333334,21.5,93.20849859486178,2.4913798258027225e-05,30,135,0.001334598742577144
444,6,5,64840,34216,5.891666666666667,29.899999999999995,91.30475015422577,1.1566933991363358e-05,9,64,0.0009942697521597176
445,6,6,45867,52650,4.491666666666667,8.299999999999999,97.55161663069309,1.090108356770663e-05,6,37,0.0008041652042362022
446,6,7,69793,41983,6.708333333333333,16.099999999999998,93.7658504434542,1.67160985581171e-05,14,53,0.0007593043514774258
447,6,8,44464,46484,6.224999999999999,15.0,97.49910039582583,3.560933189396665e-05,19,106,0.0023833373930774414
448,6,9,371154,58558,5.308333333333334,14.400000000000004,86.33666887599215,3.592399201768898e-05,160,642,0.0017498816331226355
449,6,10,28539,46177,6.241666666666667,13.5,97.55072006727637,1.4599904224628287e-05,5,25,0.0008685890046864809
450,6,11,39628,50302,5.074999999999999,11.299999999999999,94.52912082366004,2.7337572760001346e-05,13,55,0.0013784187172682786
451,6,12,137303,42029,5.716666666666666,18.199999999999996,86.2486617189719,3.0346508573495597e-05,50,240,0.001733364234555316
452,6,13,199450,62158,5.05,11.200000000000001,95.46553020807221,3.5096515417397846e-05,84,383,0.001941978282851719
453,6,14,41871,49453,6.0,13.699999999999998,94.6741181247164,2.985359795562561e-05,15,71,0.0016826753345619986
454,6,15,106622,42645,6.333333333333333,15.900000000000004,95.38462981373449,2.4228895850137246e-05,31,195,0.0018111926298253122
455,6,16,36768,41547,6.574999999999999,18.099999999999998,96.9674717145344,4.5329271830577315e-06,2,21,0.0005698766406017475
456,6,17,43036,39881,6.425,15.400000000000004,97.00018589088204,1.9363633547107846e-05,10,55,0.0012574522202184206
457,6,18,1267513,44138,6.5249999999999995,19.599999999999998,63.84794475480725,2.2353485394890102e-05,340,1687,0.0013173065522240496
